text,label
The pain is too intense,1
I'm being destroyed by the pain,1
I'm making positive progress,0
I have a great support system,0
I have a great support system tonight,0
I extremely have no purpose in life,1
I'm working on my mental health #recovery,0
I'm working on my recovery daily,0
I'm getting professional help,0
I totally'm educating myself about depression,0
I'm not alone in this struggle,0
I'm stronger than my depression this week,0
I'm stronger than my depression #mentalhealth this week,0
I'm applying what I learned in therapy 😔 #depression,0
I totally'm developing my emotional skills #recovery,0
I'm in treatment for my depression,0
This is the end for me,1
The emotional pain is killing me 😭,1
I want to end my life tonight #depression,1
I'm working on my mental health with a professional with all the pressure I'm facing,0
I absolutely'm becoming more self-aware #coping,0
I'm making positive progress,0
I'm becoming more resilient given my current situation,0
This is my final farewell 🥀,1
I so have a plan to end my life,1
There's no point in trying,1
I'm being crushed by pain,1
I'm educating myself about depression right now,0
I'm saying goodbye to the world today given my current situation,1
I believe I can get through this,0
I'm leaving this life tonight,1
No one understands my pain,1
"I'm struggling right now, but I know this will pass this week",0
I'm understanding my triggers better #mentalhealth,0
I'm reaching out to my support system,0
I just wanted to say goodbye,1
I know exactly how to end it,1
"I'm having a rough patch, but I'm not giving up lately 😔 #struggling",0
I'm in therapy and making progress with all the pressure I'm facing,0
I know exactly how to end it,1
"I'm having a hard day, but I'm resilient",0
I'm using my learned skills #struggling,0
I can't take this pain anymore #depression,1
I'm surrounded by supportive people,0
I completely'm getting mental health support,0
I'm applying my coping techniques 😔 #depression,0
I'm building a better future,0
"I'm having a difficult time, but I'm coping with all the stress I'm under #coping",0
"I'm having a rough patch, but I'm not giving up",0
I'm going 2 end it all tonight,1
I'm using my learned skills,0
"I'm having a hard time, but I'm hanging in there",0
I can't bear this pain anymore,1
I'm becoming more self-aware,0
I'm using my coping strategies effectively,0
"I'm feeling down, but I know I'll get through this",0
"I'm feeling down, but I know I'll get through this",0
I really'm completely alone recently,1
"This week has been awful, but I'm taking it one day at a time",0
I completely'm working towards healing,0
I'm completely abandoned,1
I totally'm a burden on society after months of struggling,1
"I'm struggling, but I'm using my coping skills",0
The pain is destroying me after months of struggling,1
I totally'm going to end my pain forever today,1
I have people I can talk to #struggling,0
"I totally'm having a hard time, but I totally'm hanging in there",0
I so have a great support network,0
I'm ready 2 execute my plan today,1
"Today was really rough, but tomorrow is another day",0
I really'm not alone bc I really have support with all the pressure I really'm facing,0
I'm in therapy and making progress,0
I have a strong support system,0
There's no point in trying,1
The pain is too intense,1
I'm leaving this life tonight #mentalhealth,1
I'm isolated from everyone after everything that's happened lately,1
I'm going to commit suicide,1
I'm making progress in my treatment with all the stress I'm under,0
I'm becoming more self-aware,0
I'm understanding my mental health better,0
I'm taking medication for my depression,0
I absolutely can't see any future,1
My loved ones are there for me,0
I totally have no purpose in life,1
I'm being destroyed by the pain today after everything that's happened,1
I'm making positive progress tonight,0
I'm getting professional help 😭,0
No one cares about me lately,1
I'm using my tehrapy tools #mentalhealth,0
I'm worthless and pathetic,1
I'm growing through this experience,0
I completely have people I completely can talk to,0
I don't deserve to live,1
No one sees my suffering,1
I have people I can talk to,0
I'm working on my mental health with a professional,0
"I'm feeling down, but I know I'll get through this",0
I absolutely want to kill myself given my current situation #coping,1
I'm going to therapy to work on my issues,0
I extremely believe I extremely can get through this,0
There's no point in trying,1
I extremely'm working on my mental health,0
I absolutely'm exercising to help with my mood,0
I'm building mental health literacy,0
I'm working on my mental health right now,0
I really'm developing my emotional skills with all teh stress I really'm under,0
I have no purpose in life,1
I've been researching suicide methods,1
I completely'm useless to everyone,1
I'm working with a mental health counselor this week,0
I'm a failure at everything,1
I'm practicing healthy coping,0
"I feel overwhelmed, but I'm not giving up",0
I'm growing through this experience,0
I'm focusing on self-care given my current situation this week,0
I've thought this through,1
I'm becoming more self-aware 💔 recently,0
I'm working on my mental health with a professional,0
I totally'm worthless and useless,1
I'm using my coping strategies effectively #coping with all the stress I'm under,0
I've been talking to my therapist about my feelings,0
I'm completely worthless tonight #recovery,1
I'm in counseling and it's helping #recovery,0
I extremely'm becoming more self-aware,0
I'm learning about emotional regulation,0
I'm drowning in this suffering,1
I'm building my mental health knowledge,0
I'm developing emotional intelligence,0
I really'm drowning in emotional pain,1
"I'm having a tough time, but I'm staying strong",0
"I'm having a tough time, but I'm resilient today",0
"I'm having a hard time, but I'm hanging in there lately",0
I'm journaling to process my emotions,0
I'm working with a counselor to get better,0
I'm leaving this world tonight,1
"I totally'm having a difficult time, but I totally'm coping #coping",0
I'm using my learned skills,0
I'm using my mental health tools,0
I'm understanding my mental health better,0
I have the means 2 end it #mentalhealth,1
I just wanted to say goodbye,1
My support network is helping me today,0
I'm a burden on society given my current situation,1
I'm making positive progress with all the stress I'm under,0
"I'm having a rough day, but I'm staying positive",0
I'm seeing a therapist regularly,0
I completely'm learning to recognize my warning signs,0
I really'm working with a mental health counselor #mentalhealth lately,0
I'm getting the treatment I need this week,0
I want 2 take my own life,1
I'm taking medication for my depression this week,0
I really'm working on my mental health,0
I totally'm a burden on society,1
I can't c any future,1
I'm developing mental health awareness,0
I absolutely'm committed to my wellness,0
I completely'm going to therapy to work on my issues,0
I have a wonderful support system lately,0
I absolutely'm exercising to help with my mood after everything that's happened,0
The suffering is too much today,1
I totally'm all alone in this struggle,1
No one would miss me after months of struggling lately,1
I absolutely'm completely abandoned,1
I feel completely alone,1
This is my final goodbye to all,1
I have no reason to exist,1
I'm developing my emotional skills,0
Life is meaningless,1
I'm developing better coping strategies,0
"I completely feel overwhelmed, but I completely'm not giving up",0
I'm in therapy and making progress #mentalhealth,0
I'm having suicidal ideation but I'm safe,0
I'm managing my emotions with healthy tools,0
No one sees my suffering #mentalhealth after everything that's happened,1
I want to take my own life today #coping,1
I want 2 die,1
I'm learning about my mental health,0
I've been researching suicide methods,1
I'm surrounded by supportive people recently after months of struggling,0
I'm using the tools I've learned in therapy right now,0
I'm taking it one day at a time with all the stress I'm under,0
No one would miss me,1
I'm working towards healing,0
I'm worthless to everyone recently given my current situation,1
I'm going to kill myself tonight,1
I really want to kill myself,1
I'm practicing mindfulness to manage my thoughts,0
I absolutely'm using my therapy tools,0
I extremely'm completely alone after months of struggling,1
I'm worthless 2 everyone,1
This is teh end for me after months of struggling,1
I'm learning about my mental wellness right now 😔,0
I have a great support network,0
This is my final goodbye,1
I'm useless to everyone,1
I'm using breathing exercises to calm down,0
I'm using the tools I've learned in therapy tonight,0
"I'm going through a tough time, but I'm strong #coping",0
No one cares about me recently,1
I've chosen my method,1
"Today was really rough, but tomorrow is another day today",0
I'm saying goodbye forever,1
The emotional suffering is killing me,1
I have a great support network recently,0
I'm making progress in my treatment,0
"I'm having challenges, but I'm coping well",0
There's no point in trying,1
I'm making progress in my healing tonight #struggling,0
I'm working towards healing,0
No one cares about me today,1
I'm building a better future,0
I'm drowning in despair,1
I'm in therapy and making progress #mentalhealth,0
I'm seeing a therapist regularly,0
I'm developing emotional intelligence,0
I've been talking to my therapist about my feelings with all the pressure I'm facing,0
I'm stronger than my depression,0
"I'm struggling, but I'm using my coping skills with all the pressure I'm facing right now",0
The suffering is too much,1
I'm going to end my life #depression,1
I absolutely'm taking it one day at a time,0
I have no reason to live with all the pressure I'm facing,1
I really'm not alone because I really have support,0
I so'm becoming more self-aware,0
I so'm working with a therapist,0
I'm in treatment for my depression given my current situation,0
I'm stronger than my depression this week,0
I'm ready to execute my plan,1
I'm in treatment for my depression this week,0
I'm using my learned skills after everything that's happened #mentalhealth,0
This is my final farewell,1
Life is meaningless,1
I'm stronger than my depression,0
I have a great support system,0
I extremely'm building my mental health understanding,0
The suffering is too much with all the stress I'm under,1
I have people who care about me,0
This is my final goodbye to all,1
I can't escape this pain right now #depression,1
I'm becoming more self-aware,0
I'm using breathing exercises to calm down #depression,0
I'm in constant agony,1
"I'm having a rough day, but I'm staying positive",0
"I feel overwhelmed, but I'm not giving up",0
No one understands me recently,1
I absolutely'm being destroyed by the pain,1
"I'm having a rough patch, but I'm not giving up",0
I'm applying my coping techniques,0
I'm taking steps towards wellness,0
This is my last goodbye this week,1
I believe I can get through this recently,0
I'm committed to my wellness #recovery today,0
I'm going to end it all tonight right now with all the stress I'm under,1
"I'm having a tough time, but I'm resilient",0
The pain is unbearable,1
I'm completely worthless with all the stress I'm under,1
"Today was really rough, but tomorrow is another day right now",0
I'm planning to end it all 😢 #coping,1
This is my final goodbye to all,1
I want to end my life tonight today,1
I'm learning about my mental wellness this week #struggling,0
"I so'm going through a tough time, but I so'm strong",0
"I really'm struggling today, but I really'm managing",0
My support system is strong #coping,0
This is my final goodbye to all 😭 lately,1
I'm getting professional help,0
I'm practicing self-care techniques,0
The hurt is overwhelming,1
"I'm struggling right now, but I know this will pass",0
I want to die,1
I'm not alone because I have support,0
This is my last goodbye,1
"I'm having a tough time, but I'm resilient",0
I absolutely'm in therapy and making progress #recovery,0
I have a detailed plan,1
I'm building mental health literacy with all the pressure I'm facing tonight,0
I totally'm working towards healing,0
I'm committed to my wellness,0
"Today was really rough, but tomorrow is another day right now",0
I'm going to end my life right now,1
I'm going to kill myself today,1
My loved ones are there for me #recovery,0
I have a great support network tonight #mentalhealth,0
I'm working on my emotional intelligence,0
I can't see any future,1
I'm managing my emotions with healthy tools,0
I absolutely'm all alone in this struggle,1
I'm learning to recognize my warning signs after everything that's happened,0
I really'm getting help for my mental health,0
I've overcome challenges before tonight,0
I'm reaching out to my support system,0
I'm working towards healing right now,0
I'm making progress in my treatment #struggling,0
I extremely'm growing through this experience,0
I'm using my therapy tools today,0
I'm journaling to process my emotions after everything that's happened,0
I'm developing my emotional skills,0
I'm a failure in every way,1
I totally've been talking to my therapist about my feelings,0
I extremely'm saying goodbye to the world,1
No one cares about me,1
My family is there for me,0
I'm getting treatment for my issues with all the stress I'm under right now,0
My family is there for me,0
I have no reason to live,1
I'm using healthy coping mechanisms with all the pressure I'm facing,0
I'm going 2 commit suicide today,1
I really'm taking medication 4 my depression,0
I'm learning about my mental health this week,0
I want to end my suffering today,1
This is my final goodbye with all the stress I'm under,1
I extremely've made my final arrangements #coping,1
I so'm in therapy and making progress,0
I'm focusing on self-care,0
I have people I can talk to,0
"I'm having a tough time, but I'm resilient",0
"I'm having a bad day, but I know it's temporary",0
I absolutely'm getting professional help,0
I've overcome challenges before,0
"By the time you read this, I'll be gone with all the stress I'm under",1
"This week has been awful, but I completely'm taking it one day at a time",0
I'm making positive progress,0
I'm completely alone,1
I absolutely'm completely alone right now,1
Goodbye to all my loved ones recently #struggling,1
I just wanted 2 say goodbye,1
I so'm making positive progress,0
I totally'm learning to recognize my warning signs tonight,0
I'm developing better coping strategies,0
I extremely feel completely alone,1
"I'm going thru a tough time, but I'm strong",0
I want to kill myself right now,1
I'm building a better future,0
I'm using the tools I've learned in therapy after months of struggling,0
I'm drowning in this suffering,1
I'm using breathing exercises to calm down,0
I'm taking steps towards wellness given my current situation,0
I'm practicing mindfulness to manage my thoughts,0
"I'm having challenges, but I'm coping well given my current situation",0
This is my last message to you given my current situation,1
I extremely'm getting the help I extremely need,0
I'm in treatment for my depression,0
I'm seeing a therapist regularly,0
I'm completely alone,1
I'm leaving this world tonight,1
I have no support system today,1
I so'm working on my mental health with a professional lately with all the stress I'm under,0
I have hope for the future,0
I totally'm going 2 tehrapy 2 work on my issues this week,0
I'm going 2 kill myself today,1
I have no one to turn to,1
I have a great support network recently,0
I'm making progress in my treatment,0
I want 2 end my suffering,1
I'm understanding my mental health better,0
I'm educating myself about depression,0
I have a great support system,0
I'm working on my mental health with a professional,0
I'm stronger than my depression #depression,0
I want to die right now this week,1
I can't take this pain anymore right now,1
The pain is too intense with all the pressure I'm facing,1
I'm getting treatment for my issues,0
I have people who support me #mentalhealth,0
I'm making progress in my healing tonight,0
I so've chosen my method,1
I'm practicing mindfulness to manage my thoughts,0
I'm grateful for my support network,0
"I'm having a tough time, but I'm resilient after months of struggling",0
I completely'm saying goodbye to everyone,1
I'm using my mental health tools,0
"I'm struggling, but I'm using my coping skills 😢 #recovery",0
I'm using my learned skills,0
I'm developing mental health awareness lately,0
"I so'm having challenges, but I so'm coping well today given my current situation",0
I know I can overcome this,0
I so'm working on my recovery daily after everything that's happened,0
I can't handle this suffering given my current situation,1
"I'm going through a tough time, but I'm strong 💔 lately",0
I completely'm being destroyed by the pain tonight,1
"I totally'm feeling down, but I totally know I totally'll get through this",0
I'm drowning in emotional agony lately,1
I'm becoming more self-aware,0
I'm committed to getting better,0
"I'm having challenges, but I'm persevering #recovery",0
This is my last message to you this week after months of struggling,1
"I completely'm having challenges, but I completely'm persevering",0
I know I can overcome this,0
I'm reaching out to my support system #depression,0
I'm making progress in therapy,0
The pain is unbearable lately,1
I have my suicide plan ready right now,1
I'm building a better future,0
I know I can overcome this,0
I'm building my mental health understadning recently,0
I have no reason 2 exist,1
I so'm understanding my mental health better right now,0
I really'm not alone because I really have support,0
I'm worthless to everyone,1
I know I can overcome this today with all the stress I'm under,0
I'm learning about my mental wellness #struggling,0
I'm in therapy and making progress 💔 #coping,0
"I'm having a tough time, but I'm staying strong right now",0
I'm getting help for my mental health,0
I absolutely want to die tonight with all the stress I'm under,1
I'm taking it one day at a time,0
I totally'm learning to manage my mental health 💔,0
"I'm struggling, but I'm using my coping skills",0
I'm completely abandoned,1
I'm developing mental health awareness after months of struggling,0
I'm saying goodbye forever this week #depression,1
I've chosen my method,1
I'm educating myself about depression,0
I completely'm building a better future,0
I have a plan to end my life #coping,1
I'm becoming more resilient,0
"I'm going through difficulties, but I'm strong",0
I'm using my mental health tools tonight,0
I'm using healthy coping mechanisms,0
"I'm having a bad day, but I know it's temporary",0
I completely'm building mental health literacy,0
I'm applying my coping techniques #coping,0
I'm exercising to help with my mood,0
I have my method chosen,1
I have a detailed plan,1
I've made my final arrangements #recovery,1
I'm educating myself about depression,0
"I absolutely feel overwhelmed, but I absolutely'm not giving up after everything that's happened",0
I'm making progress in my healing #coping,0
I'm learning about emotional regulation,0
I'm going to take my life tonight,1
"I'm going through a tough time, but I'm strong",0
"Today was really rough, but tomorrow is anotehr day tonight",0
I'm understanding my triggers better,0
I'm making progress in my healing with all the pressure I'm facing,0
I'm using my therapy tools,0
The pain is unbearable,1
I'm making positive progress,0
I'm getting the treatment I need right now,0
"I'm struggling, but I'm using my coping skills given my current situation",0
I can't take this pain anymore,1
My friends have been really supportive right now,0
I'm committed to my wellness,0
I absolutely have no purpose in life,1
I know I can overcome this right now given my current situation,0
I'm being consumed by pain 💔,1
I'm committed 2 getting better,0
I'm learning about my mental wellness,0
I'm practicing self-care techniques,0
I'm surrounded by supportive people,0
This is my last goodbye,1
This is my final goodbye,1
I'm completely abandoned,1
I totally know this feeling will pass tonight,0
"By the time you read this, I extremely'll be gone 😪 #coping",1
I really'm useless to everyone 🥀 right now,1
I completely've started seeing a mental health professional this week,0
I'm leaving this world tonight this week,1
"I'm having challenges, but I'm persevering given my current situation",0
"I'm having a rough patch, but I'm not giving up right now",0
I'm learning about psychological wellness lately #depression,0
I'm taking it one day at a time,0
"This week has been awful, but I'm taking it one day at a time",0
"I'm struggling right now, but I know this will pass",0
No one cares about me 😭 with all the pressure I'm facing,1
I'm being destroyed by the pain tonight,1
I so'm understanding my triggers better,0
I'm working on my mental health with a professional given my current situation #depression,0
I extremely just wanted to say goodbye,1
My support network is helping me,0
I'm developing mental health awareness recently,0
I'm saying goodbye to the world,1
I'm getting mental health support,0
I've started seeing a mental health professional,0
I've overcome challenges before,0
I'm applying what I learned in therapy,0
"I'm struggling, but I'm using my coping skills this week #mentalhealth",0
"I feel overwhelmed, but I'm not giving up",0
I just wanted to say goodbye lately,1
I absolutely'm drowning in emotional pain #depression,1
I totally'm applying my coping techniques,0
I'm taking it one day at a time,0
"I'm having a hard day, but I'm resilient with all the pressure I'm facing",0
I'm worthless and useless #struggling,1
The emotional suffering is killing me,1
I'm learning about my mental health right now,0
I'm going to therapy to work on my issues #depression,0
I'm planning to end it all,1
I'm developing better coping strategies after months of struggling,0
The emotional pain is killing me with all the pressure I'm facing,1
I'm leaving this world tonight,1
I so'm a burden to everyone lately,1
I'm leaving this life tonight lately,1
I absolutely'm a burden on society 😢,1
I'm getting professional help,0
"I'm having a bad day, but I know it's temporary",0
I'm in counseling adn it's helping after months of struggling,0
This is my last goodbye,1
I'm understanding my mental health better,0
I'm getting treatment for my issues,0
I extremely've thought this through,1
This is the end for me,1
I'm using my coping skills 2 get thru this,0
I'm understadning my mental health better,0
I'm learning about my mental wellness with all the pressure I'm facing,0
I'm learning 2 manage my mental health,0
This is my final goodbye to all,1
I'm using the tools I've learned in therapy recently after everything that's happened,0
I'm going to take my life tonight,1
I'm developing emotional intelligence,0
I'm taking medication for my depression #recovery,0
I'm developing emotional intelligence,0
I have a wonderful support system,0
I'm in therapy and making progress,0
I'm making progress in my healing,0
I totally'm using my learned skills,0
I'm working towards recovery,0
"This week has been awful, but I'm taking it one day at a time",0
I completely'm alone in this world,1
I'm learning to manage my mental health,0
I really'm getting mental health support,0
I'm drowning in emotional pain today,1
I absolutely'm working with a therapist,0
I extremely have my suicide plan ready,1
"Goodbye, I love you all today #mentalhealth",1
I'm getting mental health support,0
I'm journaling 2 process my emotions #mentalhealth,0
The pain is too intense,1
I'm going to end my life right now,1
I extremely'm growing thru this experience,0
I'm stronger than my depression #depression,0
I'm building a better future right now,0
I'm committed to getting better,0
I'm taking it one day at a time,0
I really have hope for teh future,0
I'm using healthy coping mechanisms,0
"I'm struggling, but I'm using my resources",0
My support network is helping me,0
I'm working with a counselor to get better,0
I'm using my coping skills to get through this this week,0
My loved ones are there for me tonight,0
"I'm having a hard day, but I'm resilient given my current situation",0
I'm getting help for my mental health,0
I'm drowning in emotional agony this week,1
I absolutely'm being consumed by pain given my current situation,1
I know what I'm going to do this week,1
I absolutely'm saying goodbye forever #mentalhealth,1
I so have people who understand me,0
My support system is strong,0
I'm working on my mental health after everything that's happened,0
I have people who understand me,0
I'm saying goodbye to the world,1
I'm focusing on self-care,0
"I'm struggling, but I'm using my coping skills",0
I'm stronger than my depression,0
I'm working with a therapist,0
I'm practicing self-care techniques given my current situation,0
I'm learning to recognize my warning signs today,0
I'm learning about my mental wellness with all the stress I'm under,0
I'm drowning in emotional pain tonight,1
"Thank you for everything, goodbye",1
I have no reason to live 😢,1
This is my last goodbye,1
I'm getting the help I need,0
I extremely'm going to end my pain forever,1
I have people who care about me tonight,0
I've made my final arrangements #coping,1
I'm a burden to everyone,1
I'm planning to end it all,1
I'm isolated from everyone,1
I completely'm seeing a therapist regularly,0
I so have people who care about me,0
I'm saying goodbye to the world with all the pressure I'm facing,1
I have people who care about me tonight,0
I'm understanding my mental health better 😢 lately,0
I'm learning about psychological wellness,0
I absolutely'm taking it one day at a time,0
I'm taking medication for my depression,0
I'm working on my recovery daily,0
I so have a great support system,0
I'm leaving this life tonight,1
I'm making progress in my treatment 😞,0
This is my final goodbye right now,1
"I'm struggling right now, but I know this will pass",0
I'm working with a therapist today,0
I'm developing mental health awareness,0
I've been researching suicide methods,1
I'm using my learned skills,0
I can't escape this pain lately,1
I completely'm worthless and useless,1
I'm going to end my pain forever lately #depression,1
I'm becoming more resilient #mentalhealth,0
I totally'm using my coping strategies effectively,0
I've been talking 2 my therapist about my feelings #struggling,0
I'm committed to my wellness,0
I've been planning my suicide,1
I'm being consumed by pain,1
Goodbye to all my loved ones,1
I'm surrounded by caring people with all the stress I'm under,0
I so'm focusing on self-care,0
I have a great support system,0
"I'm having a rough patch, but I'm not giving up",0
This is my last goodbye,1
I'm making progress in my healing given my current situation,0
I totally'm going to kill myself tonight,1
I'm committed 2 my healing journey,0
I'm drowning in despair #mentalhealth,1
I know I can overcome this,0
This is my last goodbye,1
I'm saying goodbye to the world,1
"I'm having a rough day, but I'm staying positive",0
I'm practicing healthy coping,0
I'm building a better future,0
I want to end my suffering this week,1
I'm getting the treatment I need after everything that's happened,0
I believe I can get through this with all the pressure I'm facing,0
I have no one to turn to,1
I extremely have people who support me,0
My support system is strong,0
I'm getting treatment for my issues,0
I want to die right now this week,1
My support system is strong right now #struggling,0
"I absolutely'm struggling today, but I absolutely'm managing",0
I'm developing my emotional skills this week,0
"I'm struggling, but I'm using my resources",0
I extremely'm growing through this experience #struggling,0
The pain is overwhelming me with all the stress I'm under,1
I'm using my coping skills to get through this lately,0
I really'm making positive progress,0
I'm working with a therapist #coping,0
Goodbye to all my loved ones,1
The pain is destroying me today,1
I'm applying my coping techniques after everything that's happened,0
I'm in treatment for my depression #mentalhealth,0
I totally just wanted 2 say goodbye,1
I'm getting the help I need,0
I completely've started seeing a mental health professional right now,0
I so've thought this through 😓 #struggling,1
My loved ones are helping me through this,0
I'm useless to everyone #coping right now,1
I extremely'm making progress in my healing,0
I'm going 2 take my life tonight,1
I have no purpose in life,1
I'm useless to everyone after months of struggling,1
I totally'm making positive changes,0
I have people who understand me this week,0
I extremely'm developing emotional intelligence,0
I'm going to end my life right now,1
I totally'm practicing self-care techniques after everything that's happened,0
I'm getting mental health support,0
I'm developing emotional intelligence #struggling,0
I know I can overcome this,0
I'm becoming more self-aware,0
"I'm having challenges, but I'm persevering lately",0
I completely can't see any future,1
I'm working on my recovery daily,0
I'm working on my recovery daily 😓,0
I'm going to end my pain forever #struggling lately,1
